article_name,published_year,author,domain,count,total_words,weight
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Anatomy,21,5277,0.003979533826037522
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Behavior/Archaeology,33,5277,0.0062535531552018195
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Genetics,102,5277,0.019329164297896533
