topic,top_words,weights
1,"['sample', 'age', 'hand', 'mark', 'cave', 'cut', 'bone', 'red', 'tar', 'carbonate', 'th', 'neumark', 'nord', 'surface', 'minimum', 'art', 'activity', 'talon', 'pigment', 'stencil']","[245.69099713249335, 182.2963887392733, 120.31352488593905, 120.04903950202915, 117.00854221635058, 106.2051343962852, 103.9514083289651, 97.82086178067202, 96.13271976396557, 78.19583050531084, 77.06688596030799, 72.19757736991656, 70.19753049013043, 69.42329491846836, 68.57845934970643, 66.66301479152645, 66.23816440134866, 64.17170966569365, 60.50543806393201, 54.19343202575671]"
2,"['structure', 'hyoid', 'grammar', 'evolution', 'word', 'fossil', 'syntax', 'case', 'linguistic', 'variation', 'stage', 'body', 'specimen', 'bone', 'syntactic', 'genetic', 'construction', 'kind', 'great', 'argument']","[123.72728706173605, 71.96679310660174, 60.20071800056511, 60.14547606580029, 54.58914541196195, 52.76304400985311, 45.282866264038375, 45.182485548305074, 42.46823627540505, 41.6637278692732, 40.56154996561548, 40.0654305660301, 38.521724093004416, 38.29333149998112, 36.36427895245328, 34.935954676790324, 33.48752860061855, 33.035098269215304, 32.81097056202119, 32.254814118029444]"
3,"['gene', 'region', 'brain', 'expression', 'sequence', 'genome', 'specific', 'change', 'cold', 'chimpanzee', 'dna', 'datum', 'individual', 'estimate', 'cell', 'genetic', 'divergence', 'day', 'selection', 'cortical']","[348.64982671074875, 264.4447533507412, 261.5362061688224, 199.62746129491975, 193.79994240671405, 172.4238954384702, 151.62689523973228, 145.91376958314416, 129.8004772204599, 123.11014351555993, 111.23429810647355, 110.49044037905543, 104.17463807066386, 90.56451905725412, 88.24595383052161, 87.99476930341241, 87.70243993575536, 87.29244875423309, 86.884387588058, 79.72513169809011]"
4,"['speech', 'shell', 'change', 'africa', 'tool', 'genetic', 'brain', 'cultural', 'fossil', 'amh', 'specie', 'group', 'gene', 'vocal', 'evolution', 'presence', 'behavior', 'homo', 'ago', 'complex']","[196.82271706759138, 135.5381883296821, 120.54184924079748, 119.55784692809577, 118.3190717060879, 117.91403596917408, 113.53560404425055, 113.07833726637979, 112.9126231810247, 110.19937252206773, 103.33849716793642, 102.31842968370911, 97.43296607446243, 96.01867368186836, 87.8600030410346, 87.44833723031515, 86.60601156004546, 84.89260141503208, 84.12174540219634, 80.81830931314028]"
5,"['bone', 'cave', 'layer', 'surface', 'burial', 'skeleton', 'fragment', 'plant', 'upper', 'food', 'palaeolithic', 'si', 'excavation', 'material', 'appendix', 'deposit', 'supplementary', 'context', 'depression', 'body']","[221.59541558503585, 116.0278580416577, 90.51592824654385, 84.29928240408303, 74.83461866041819, 73.89577752283355, 71.35026224702045, 64.20408851734351, 62.92767739749786, 62.61633276093354, 60.857806842677704, 60.82264423529767, 59.79966124239243, 58.92969607154606, 58.17917894897633, 56.85670675037634, 56.611545689432944, 54.28247415405825, 53.20011693643593, 52.76515488732741]"
