topic,top_words,weights
1,"['bone', 'sample', 'age', 'cave', 'surface', 'shell', 'mark', 'cut', 'hand', 'layer']","[355.62695104313644, 300.9119550084765, 244.7447575494118, 241.67603594437952, 171.71344204005067, 153.09091010256216, 147.71041375576993, 139.81362269928806, 131.67633173882172, 129.05404107462383]"
2,"['speech', 'fossil', 'genetic', 'evolution', 'brain', 'change', 'gene', 'linguistic', 'hyoid', 'amh']","[209.98551666198082, 165.07646045970665, 148.7445074339752, 145.3912109308766, 145.00830524290373, 143.411169464014, 117.44753742430444, 116.29130026227082, 113.36783435900051, 110.29415962149479]"
3,"['gene', 'region', 'brain', 'expression', 'sequence', 'genome', 'change', 'specific', 'chimpanzee', 'cold']","[350.2178800613072, 281.9071660707823, 263.5434742168268, 203.1525142918708, 202.81246642460897, 171.0213106084678, 163.53819938593367, 157.93434055070443, 135.9582485043679, 133.96766031756013]"
