topic,top_words,weights
1,"['sample', 'age', 'cave', 'hand', 'brain', 'tar', 'change', 'red', 'th', 'carbonate', 'expression', 'art', 'minimum', 'plant', 'layer', 'ratio', 'technique', 'stencil', 'food', 'pigment']","[227.11370233209323, 145.24230922330366, 120.82591550818708, 116.47181618402995, 102.1831526361349, 96.10649194926577, 90.09970761189317, 86.43944735149849, 74.91068840532594, 71.16701950607484, 64.40191647081015, 64.30020624827739, 60.99408286321856, 58.13095055399909, 55.102900030601106, 54.99182324714349, 54.325186806373445, 54.07305686362625, 53.4687340254539, 53.0333460351509]"
2,"['structure', 'brain', 'hyoid', 'bone', 'fossil', 'region', 'datum', 'extend', 'volume', 'specimen', 'cerebellar', 'surface', 'age', 'model', 'body', 'supplementary', 'estimate', 'morphology', 'individual', 'adult']","[101.53798339155026, 90.61039070068485, 71.8854568011006, 70.0619966651796, 68.84429077393325, 65.78165867329697, 59.51947637972486, 52.65394373846846, 47.02794554378, 43.8034763749523, 42.16687608428008, 41.56193337935, 41.408183003654415, 41.20889257496424, 39.88670981614018, 35.35621349053818, 35.05383660013736, 34.83957770091141, 34.48507825780791, 33.77074670883027]"
3,"['gene', 'region', 'genome', 'sequence', 'expression', 'cold', 'specific', 'dna', 'individual', 'datum', 'day', 'divergence', 'selection', 'brain', 'cell', 'genetic', 'allele', 'derive', 'estimate', 'chimpanzee']","[334.03617435978964, 198.51313613413043, 169.5862405451212, 167.76471426692817, 140.71056157403274, 129.56238211202842, 116.86366278714303, 107.23353411673769, 91.8499196791868, 91.52096382137817, 85.75427393088283, 84.47810182928113, 83.4885608480881, 81.80969503629315, 80.20063621729228, 76.69039983982373, 75.606770261321, 72.97280642733462, 72.58244307891704, 71.50022031741811]"
4,"['speech', 'genetic', 'change', 'brain', 'gene', 'fossil', 'amh', 'specie', 'cultural', 'africa', 'evolution', 'group', 'vocal', 'ago', 'homo', 'tool', 'linguistic', 'behavior', 'presence', 'complex']","[202.1687793992552, 132.462548976603, 131.6403538017093, 123.19422023706274, 115.33968860461773, 112.45742349778953, 110.166370427245, 108.45852487128145, 108.41226426919198, 108.3189508356786, 100.053058816824, 96.84154294607299, 96.28283358467304, 86.82871881540812, 84.56306243499421, 82.95446753396922, 82.35270837981993, 79.47165848732833, 77.90410729818494, 77.51391790263497]"
5,"['bone', 'shell', 'layer', 'cave', 'burial', 'age', 'si', 'material', 'surface', 'appendix', 'excavation', 'context', 'deposit', 'symbolic', 'upper', 'supplementary', 'pit', 'sample', 'line', 'bouffia']","[143.998762467852, 133.56292909334047, 86.66175639245253, 71.82625568668257, 70.01086885853674, 61.48392546994187, 60.84870397753986, 60.495032010643385, 59.676785337530674, 58.16601442663267, 52.434885857148494, 52.12981905174598, 49.16318728842281, 48.41424007934303, 45.42465266348652, 45.14517552175908, 44.329230457232924, 43.948167329943225, 42.85563007826431, 42.72800737343813]"
6,"['bone', 'mark', 'cut', 'neumark', 'surface', 'nord', 'talon', 'individual', 'tool', 'stick', 'elephant', 'case', 'complex', 'artifact', 'grammar', 'structure', 'argument', 'datum', 'wood', 'body']","[163.4576206234747, 137.6925876630932, 124.07470989187993, 72.16628116079875, 70.7509595261685, 70.16626996748357, 66.11643155506893, 59.018703165287185, 55.387728122863315, 54.16518214774068, 53.16633575602454, 49.66140502978488, 48.225077564327094, 48.148572453789875, 44.98680388551572, 44.11066877802825, 43.68179620598937, 41.137562285451246, 40.209877032094234, 39.667676007192654]"
