topic_id,words,words_with_probabilities
0, brain bone specific change expression gene site study tool recent genetic burial specie difference layer cortical region line cognition use , brain:0.0097 bone:0.0077 specific:0.0070 change:0.0068 expression:0.0067 gene:0.0065 site:0.0064 study:0.0061 tool:0.0055 recent:0.0053 genetic:0.0052 burial:0.0052 specie:0.0051 difference:0.0051 layer:0.0049 cortical:0.0048 region:0.0047 line:0.0046 cognition:0.0045 use:0.0044 
1, sample age bone site body cold pigment structure shell hand red hyoid year art minimum cave result individual surface layer , sample:0.0175 age:0.0106 bone:0.0100 site:0.0071 body:0.0069 cold:0.0068 pigment:0.0068 structure:0.0066 shell:0.0063 hand:0.0061 red:0.0060 hyoid:0.0057 year:0.0053 art:0.0047 minimum:0.0047 cave:0.0047 result:0.0047 individual:0.0047 surface:0.0047 layer:0.0046 
2, language gene brain speech region present neandertal fossil year evolution neanderthal genetic feature genome difference time population datum sequence day , language:0.0358 gene:0.0103 brain:0.0101 speech:0.0081 region:0.0074 present:0.0074 neandertal:0.0072 fossil:0.0068 year:0.0064 evolution:0.0062 neanderthal:0.0062 genetic:0.0051 feature:0.0050 genome:0.0049 difference:0.0049 time:0.0045 population:0.0045 datum:0.0045 sequence:0.0043 day:0.0043 
