topic,top_words,weights
1,"['bone', 'sample', 'age', 'cave', 'surface', 'mark', 'cut', 'layer', 'hand', 'red', 'tar', 'fragment', 'cm', 'datum', 'carbonate', 'th', 'palaeolithic', 'represent', 'pigment', 'minimum']","[319.3892545312351, 292.5276697387289, 234.25040219970097, 230.77497894675332, 152.1395465489793, 145.0661134921333, 138.36454850344938, 134.68682737648763, 126.91746043164396, 108.88504029972421, 96.19193558448255, 88.66764237027371, 87.77557850369065, 84.1983528925131, 78.2484217921711, 77.49606314914826, 76.96595131891988, 76.57628372308454, 74.66119107524888, 73.68520131006188]"
2,"['structure', 'brain', 'hyoid', 'fossil', 'region', 'evolution', 'grammar', 'word', 'volume', 'case', 'syntax', 'variation', 'datum', 'linguistic', 'cerebellar', 'body', 'model', 'stage', 'specimen', 'syntactic']","[126.06253071514199, 110.07491734604245, 72.77214872127816, 71.76307822630865, 65.51098822402025, 61.592455470718924, 61.160563259868, 56.01225270749411, 47.54946453400649, 45.68350168670062, 45.32913295291045, 45.21866806401007, 44.43803724686982, 43.83153377580222, 43.148260565114136, 42.46735247342595, 40.75067846241434, 40.16739256702967, 40.013642563202446, 38.651566410950245]"
3,"['gene', 'region', 'expression', 'sequence', 'brain', 'genome', 'change', 'specific', 'cold', 'chimpanzee', 'dna', 'individual', 'datum', 'day', 'selection', 'cell', 'divergence', 'genetic', 'cortical', 'estimate']","[349.187810456248, 209.37386068433662, 207.10296582338827, 195.9512896481705, 181.3068129714438, 173.2324075598887, 153.55113399244294, 151.68308225199092, 129.89613616470064, 115.41856845888823, 111.97260414071373, 99.96974492594566, 97.51512050800487, 87.65779209756894, 87.61681817208424, 87.47424397650259, 87.47331892236454, 87.10755121575578, 80.34577023756357, 78.04565404473038]"
4,"['speech', 'shell', 'tool', 'change', 'africa', 'genetic', 'cultural', 'fossil', 'brain', 'specie', 'amh', 'group', 'gene', 'vocal', 'behavior', 'symbolic', 'presence', 'evolution', 'homo', 'ago']","[197.9129550370101, 149.0891866460358, 125.98333007844651, 125.02513594392404, 123.93104035996775, 119.99167012706103, 118.12789121180494, 117.39166834930575, 117.36589368674997, 115.88512404987046, 110.24820011579352, 102.73199078639875, 97.36065249850483, 96.28960769570809, 94.73640541458005, 91.60000464788551, 90.79104163628882, 88.90232230250916, 87.20883767802657, 86.35465599237959]"
