article_name,published_year,author,domain,keyword,count,relative_frequency
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,afarensis,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,affect,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,afil,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,africa,19,0.0036005306045101384
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,african,10,0.0018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,ago,9,0.0017055144968732233
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,aim,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,air,4,0.0007580064430547659
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,airstream,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,alemsege,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Genetics,allele,5,0.0009475080538184574
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,allow,8,0.0015160128861095318
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,alperson,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,alter,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,alternative,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,amazed,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,america,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,american,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,amino,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,aminoacid,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,amos,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,ample,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,amud,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,amusia,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,analogous,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,analysis,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,analyze,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,anatomical,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,anatomically,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,anatomy,4,0.0007580064430547659
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,ancestor,20,0.0037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Genetics,ancestral,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,ancestry,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,ancient,15,0.0028425241614553724
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,andrew,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,angle,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,animal,5,0.0009475080538184574
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,answer,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,antecessor,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,antiquity,8,0.0015160128861095318
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,ape,4,0.0007580064430547659
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,aphasia,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,apparatus,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,apparent,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,apparently,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,appeal,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,appear,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,apply,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,appreciate,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,approach,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,appropriate,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,appropriateness,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,approximately,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,arbib,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,archaeological,6,0.0011370096645821489
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,archaeologist,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,archaic,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,arctic,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,arcy,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,area,8,0.0015160128861095318
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,arensburg,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,argue,13,0.0024635209399279895
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,argument,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,arise,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,arrive,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,arrow,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,art,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,articulate,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Anatomy,articulation,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,artifact,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,asia,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,asians,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,aspect,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,aspm,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,assemblage,7,0.0013265112753458404
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,associate,5,0.0009475080538184574
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,association,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,assume,5,0.0009475080538184574
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,assumption,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,atapuerca,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,atkinson,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,attempt,3,0.0005685048322910744
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,attendant,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,attention,1,0.00018950161076369148
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,attest,2,0.00037900322152738296
On the antiquity of language the reinterpretation of Neandertal linguistic capacities and its conse.pdf,2013,Dediu and Levinson,Other/General,attractor,2,0.00037900322152738296
